age;job;marital;education;balance;housing;loan;month;duration;campaign;pdays
46;management;single;tertiary;2154;yes;no;jul;87;4;-1
31;self-employed;single;tertiary;96;no;no;feb;577;1;-1
39;entrepreneur;married;tertiary;83;yes;no;jul;193;2;-1
34;management;single;tertiary;6766;no;no;aug;210;5;-1
47;technician;married;secondary;3973;no;no;aug;732;2;-1
42;services;divorced;secondary;372;yes;yes;may;121;2;-1
48;blue-collar;single;secondary;-552;no;yes;nov;150;2;-1
30;self-employed;single;tertiary;48;no;no;nov;140;1;-1
38;technician;married;secondary;7696;yes;no;nov;386;2;-1
24;services;married;secondary;4500;yes;no;may;733;2;-1
34;technician;married;secondary;1;yes;no;nov;108;1;-1
46;management;single;tertiary;46;no;yes;nov;80;1;152
32;admin.;divorced;secondary;-18;yes;no;may;155;3;-1
46;services;married;secondary;451;yes;yes;may;389;4;-1
26;self-employed;married;tertiary;479;yes;no;feb;133;3;-1
42;blue-collar;married;secondary;0;yes;no;nov;328;6;-1
50;technician;married;secondary;1130;yes;no;jul;119;2;-1
41;blue-collar;married;primary;389;yes;no;jun;87;6;-1
34;admin.;single;secondary;10;no;yes;nov;162;1;173
32;services;married;secondary;401;yes;no;may;294;2;-1
58;housemaid;single;tertiary;145;yes;yes;jul;128;2;-1
45;technician;married;secondary;115;yes;no;may;108;1;-1
28;admin.;single;secondary;89;yes;yes;feb;172;2;-1
35;technician;married;secondary;94;yes;yes;may;208;5;-1
39;services;married;secondary;1438;yes;no;may;212;2;-1
49;unemployed;divorced;tertiary;780;no;no;nov;148;1;871
50;management;married;tertiary;207;yes;no;feb;99;1;-1
37;management;married;tertiary;238;no;no;feb;185;1;92
45;blue-collar;married;primary;2433;no;no;aug;133;2;-1
30;housemaid;single;secondary;1924;no;no;feb;170;1;-1
48;unemployed;married;tertiary;-471;yes;no;may;668;7;-1
36;management;single;tertiary;1531;yes;no;may;81;3;170
41;management;single;secondary;764;no;no;jun;230;2;-1
55;blue-collar;married;secondary;383;no;no;may;287;1;-1
70;retired;married;primary;3782;no;no;mar;618;1;-1
41;management;married;tertiary;326;yes;no;may;788;1;-1
47;services;divorced;secondary;691;no;no;feb;285;6;-1
34;technician;single;secondary;0;no;no;aug;163;2;-1
33;management;single;tertiary;99;no;no;jul;159;1;-1
58;retired;married;secondary;502;yes;no;may;197;2;370
51;management;married;tertiary;-15;no;no;jul;212;2;-1
45;management;married;tertiary;1929;yes;no;may;44;15;-1
55;admin.;married;secondary;0;no;no;sep;180;2;238
30;blue-collar;single;primary;185;no;no;jun;11;1;-1
33;management;single;secondary;-424;yes;no;may;863;1;-1
27;services;single;secondary;0;yes;no;may;388;7;-1
59;retired;married;secondary;319;yes;no;may;143;3;-1
34;management;single;tertiary;171;yes;no;may;191;1;294
47;technician;divorced;tertiary;-1148;yes;yes;may;62;2;-1
44;blue-collar;married;primary;-11;yes;no;may;13;1;-1
35;admin.;single;secondary;0;yes;no;may;1073;1;-1
45;management;married;tertiary;-206;yes;no;may;337;2;-1
42;blue-collar;married;primary;704;yes;yes;jul;88;10;-1
38;technician;married;secondary;1931;no;no;jun;167;1;298
34;technician;single;secondary;943;no;no;aug;96;4;-1
35;technician;married;secondary;327;yes;no;apr;537;3;-1
29;management;single;secondary;-105;yes;no;may;5;3;-1
58;retired;married;secondary;983;no;no;aug;139;1;-1
44;blue-collar;single;primary;787;yes;no;may;570;2;-1
45;entrepreneur;married;tertiary;0;yes;no;jul;100;3;-1
43;blue-collar;married;secondary;3060;yes;no;may;253;2;-1
44;services;married;secondary;5780;yes;no;apr;525;2;-1
30;technician;single;secondary;790;no;no;aug;696;3;-1
38;unemployed;married;tertiary;1449;no;no;may;535;6;-1
50;technician;married;secondary;1412;no;no;aug;131;3;-1
21;student;single;secondary;681;no;no;aug;6;1;-1
38;entrepreneur;married;tertiary;228;yes;no;feb;105;1;-1
42;admin.;married;secondary;0;no;no;jun;370;1;-1
45;technician;single;tertiary;2087;no;no;aug;29;14;-1
34;entrepreneur;married;secondary;2;yes;yes;may;184;1;167
48;technician;married;secondary;197;no;yes;feb;47;2;222
34;services;married;secondary;0;no;yes;jul;193;4;-1
32;blue-collar;married;secondary;1905;yes;no;jul;709;2;-1
35;technician;married;tertiary;118;no;no;aug;358;2;-1
39;entrepreneur;married;tertiary;2644;yes;no;may;253;1;-1
36;self-employed;married;tertiary;16430;yes;no;jun;197;3;-1
35;technician;married;secondary;13;no;no;aug;94;2;-1
57;services;divorced;secondary;14;no;yes;jul;445;2;-1
28;technician;single;secondary;769;yes;no;may;153;1;371
43;admin.;married;unknown;3485;no;no;jun;113;1;-1
57;management;married;secondary;139;no;no;aug;80;1;-1
34;services;divorced;secondary;202;yes;no;may;318;1;-1
36;technician;married;tertiary;6;yes;no;jan;100;1;435
47;management;divorced;tertiary;2515;no;no;jun;40;3;-1
36;management;divorced;tertiary;5195;yes;no;jun;55;25;-1
33;management;married;tertiary;2098;no;no;nov;67;1;-1
57;management;married;tertiary;320;no;no;aug;76;2;-1
57;management;married;tertiary;3431;yes;no;may;73;1;-1
34;admin.;married;secondary;50;yes;no;may;89;2;-1
51;housemaid;divorced;tertiary;370;yes;no;aug;109;3;-1
54;blue-collar;divorced;primary;-182;no;no;jul;98;1;-1
52;self-employed;single;tertiary;1623;yes;no;jun;21;17;-1
43;entrepreneur;married;tertiary;13342;yes;no;nov;465;1;-1
58;retired;single;primary;6570;no;no;jul;106;3;-1
53;admin.;married;secondary;225;yes;no;apr;304;1;340
44;management;married;secondary;-665;no;no;jul;342;3;-1
29;management;single;tertiary;0;no;no;may;16;25;-1
27;services;single;secondary;54;yes;no;may;543;2;-1
35;blue-collar;married;primary;46;no;no;jul;338;3;-1
40;self-employed;married;secondary;2;no;no;aug;197;5;-1
34;blue-collar;married;secondary;103;yes;yes;may;956;2;-1
38;admin.;single;secondary;883;yes;no;may;95;1;327
32;services;married;secondary;55;yes;no;may;546;9;-1
41;admin.;married;secondary;8238;yes;yes;may;124;4;-1
25;blue-collar;single;secondary;913;yes;no;jul;113;4;-1
38;blue-collar;divorced;secondary;595;yes;no;may;245;3;-1
26;technician;single;secondary;7;yes;no;jul;188;2;-1
37;technician;single;tertiary;1661;no;no;aug;199;5;-1
30;management;married;tertiary;102;yes;no;apr;470;7;426
36;services;married;secondary;338;no;no;may;90;1;-1
33;management;married;secondary;3132;yes;no;may;350;5;-1
33;admin.;single;tertiary;490;yes;no;may;31;1;363
35;management;married;tertiary;2682;yes;no;jul;156;1;-1
24;services;married;tertiary;0;yes;no;may;299;1;-1
29;unemployed;married;secondary;596;no;no;jan;510;2;-1
54;blue-collar;married;secondary;2059;yes;no;aug;177;4;-1
27;admin.;married;secondary;132;no;no;oct;123;2;-1
34;management;married;secondary;0;no;no;feb;270;1;-1
39;blue-collar;married;primary;385;yes;no;may;225;4;-1
38;management;married;tertiary;223;no;no;jan;63;1;-1
37;management;married;tertiary;0;yes;no;jun;247;13;-1
26;services;single;secondary;512;yes;yes;jan;206;5;239
36;entrepreneur;married;tertiary;1169;yes;no;may;168;2;-1
35;management;single;tertiary;71;yes;no;may;836;12;-1
30;management;single;tertiary;940;no;no;aug;131;2;-1
25;technician;single;secondary;-80;yes;yes;jun;89;1;-1
34;technician;married;secondary;0;yes;no;aug;116;4;-1
52;unknown;married;unknown;1317;no;no;jun;58;1;-1
39;admin.;married;secondary;179;no;no;sep;36;1;-1
34;management;married;secondary;1007;yes;no;jul;240;2;-1
34;management;single;secondary;0;no;no;aug;132;4;-1
30;services;married;secondary;1286;yes;yes;jul;544;1;-1
33;services;married;secondary;804;yes;yes;may;266;1;-1
30;student;single;secondary;4;no;no;feb;443;2;-1
51;blue-collar;married;primary;0;yes;no;jul;324;1;-1
36;services;single;secondary;417;yes;no;feb;15;10;207
48;blue-collar;married;primary;1678;no;no;jan;263;2;-1
37;services;divorced;secondary;532;yes;no;jun;199;1;-1
58;management;married;secondary;407;yes;no;jul;145;2;-1
56;management;divorced;tertiary;659;no;yes;jun;56;1;-1
34;blue-collar;married;secondary;393;yes;no;may;11;9;-1
33;admin.;divorced;secondary;661;yes;no;nov;411;1;173
26;services;single;secondary;0;no;no;jul;165;23;-1
40;management;single;unknown;838;yes;no;may;619;3;-1
35;services;married;secondary;195;yes;no;apr;203;1;-1
45;entrepreneur;married;secondary;68;yes;no;may;254;1;-1
37;technician;single;secondary;-242;yes;no;aug;1149;6;-1
35;management;divorced;tertiary;321;yes;no;may;189;1;-1
43;services;single;secondary;3403;yes;no;nov;707;2;97
28;blue-collar;married;secondary;8;yes;no;may;196;1;-1
32;blue-collar;divorced;secondary;739;yes;no;may;171;1;-1
26;unemployed;single;secondary;622;no;no;jan;1451;2;-1
35;services;married;secondary;152;yes;no;jun;563;1;-1
35;technician;single;secondary;2;no;no;aug;239;4;-1
39;blue-collar;married;secondary;1439;yes;no;jul;73;6;-1
42;blue-collar;divorced;secondary;1491;yes;no;may;203;2;334
32;technician;single;secondary;6402;yes;no;may;158;1;167
30;unemployed;married;secondary;1210;no;no;jul;100;4;-1
26;management;single;tertiary;122;no;yes;jul;160;1;-1
30;student;single;secondary;0;yes;no;nov;661;1;-1
32;management;married;tertiary;62;yes;no;may;166;1;-1
47;services;married;secondary;3333;yes;yes;jul;114;2;-1
33;technician;married;tertiary;16992;yes;no;may;58;1;-1
57;blue-collar;married;primary;23;yes;no;jul;25;8;-1
35;admin.;married;secondary;0;yes;no;may;121;2;-1
53;technician;married;tertiary;6072;no;yes;jun;226;4;-1
24;retired;single;secondary;366;no;yes;may;234;2;-1
54;management;divorced;tertiary;0;no;yes;jul;88;1;-1
31;management;married;tertiary;1343;yes;yes;may;85;1;-1
41;entrepreneur;married;secondary;2105;yes;no;nov;134;1;-1
44;unknown;married;secondary;2319;no;no;aug;251;3;-1
35;services;single;secondary;35;yes;no;may;152;1;-1
30;management;married;tertiary;877;no;no;aug;202;1;83
43;blue-collar;single;primary;30;yes;no;may;379;17;-1
51;entrepreneur;married;secondary;-2082;no;yes;jul;123;6;-1
60;retired;married;secondary;89;no;no;apr;156;2;-1
43;self-employed;married;secondary;104;no;no;jun;332;1;-1
31;management;married;tertiary;1750;yes;no;may;90;3;-1
56;management;married;primary;772;yes;no;nov;291;1;-1
42;technician;married;secondary;1048;yes;no;feb;23;2;-1
52;entrepreneur;married;primary;592;no;no;jul;122;2;-1
40;technician;married;secondary;0;yes;yes;jul;105;2;172
36;services;married;secondary;3064;yes;no;may;1143;4;-1
40;services;married;primary;33;no;no;may;70;3;-1
46;blue-collar;married;secondary;0;yes;no;may;264;2;-1
32;admin.;single;secondary;1649;no;no;may;204;2;-1
31;housemaid;single;tertiary;287;yes;no;nov;182;1;-1
41;technician;divorced;secondary;0;yes;no;nov;386;2;-1
58;housemaid;married;primary;419;no;yes;jun;295;3;-1
36;services;married;secondary;257;yes;no;may;86;2;-1
52;technician;married;secondary;118;no;no;aug;16;20;-1
42;management;married;tertiary;251;no;no;aug;413;2;-1
32;management;single;tertiary;1731;yes;yes;may;323;3;-1
62;management;married;tertiary;0;no;no;oct;78;3;-1
31;technician;single;tertiary;23;no;no;aug;121;3;-1
41;blue-collar;single;secondary;-386;no;yes;nov;477;1;-1
34;self-employed;married;tertiary;5498;no;no;nov;265;1;-1
44;management;single;tertiary;5063;no;no;oct;418;2;-1
42;blue-collar;married;primary;7041;yes;no;jul;386;4;-1
37;entrepreneur;single;secondary;654;no;no;may;594;2;-1
47;management;married;tertiary;1890;no;no;jul;161;1;-1
32;unemployed;married;secondary;2400;yes;yes;feb;450;3;-1
46;blue-collar;married;secondary;519;yes;no;aug;217;6;-1
39;technician;single;tertiary;1190;no;no;aug;136;1;-1
28;services;single;secondary;229;yes;no;may;322;1;-1
26;student;single;secondary;203;no;no;nov;104;1;196
52;technician;married;secondary;1818;no;yes;nov;189;2;111
42;unemployed;married;secondary;1289;no;no;jul;250;4;415
33;technician;divorced;tertiary;39;no;no;aug;123;5;-1
73;retired;married;primary;796;no;no;oct;427;1;182
35;admin.;single;secondary;57;no;yes;jul;632;2;-1
40;management;married;tertiary;1548;yes;no;apr;101;3;-1
51;technician;married;secondary;117;no;no;aug;467;2;88
37;admin.;single;secondary;0;yes;no;apr;640;2;-1
39;management;married;tertiary;691;yes;yes;apr;517;1;255
28;blue-collar;married;secondary;64;yes;no;may;160;3;-1
49;technician;divorced;tertiary;0;yes;no;jun;177;3;-1
36;admin.;married;secondary;957;yes;no;may;206;1;-1
45;technician;married;secondary;118;yes;no;may;208;2;-1
29;technician;single;tertiary;218;yes;no;apr;169;1;-1
35;management;married;secondary;724;yes;no;jul;287;2;415
35;housemaid;married;tertiary;20;yes;yes;jul;505;3;-1
30;blue-collar;married;secondary;-28;yes;no;may;284;2;371
46;blue-collar;married;primary;665;no;no;jan;89;4;235
25;student;single;tertiary;5;no;no;sep;138;1;-1
36;management;married;tertiary;925;no;no;dec;321;3;189
42;blue-collar;married;primary;2519;yes;no;may;262;4;-1
57;admin.;married;secondary;3927;no;no;oct;61;1;-1
42;management;divorced;tertiary;401;yes;no;jul;217;9;-1
29;management;married;tertiary;581;yes;yes;jul;192;2;-1
36;technician;married;tertiary;1327;no;no;oct;174;2;-1
31;unemployed;married;secondary;3242;no;no;jun;292;2;-1
59;technician;married;primary;3163;yes;no;may;240;2;-1
50;unemployed;divorced;secondary;32;no;no;aug;282;2;-1
47;admin.;married;secondary;310;yes;yes;aug;128;6;-1
46;housemaid;married;primary;0;no;no;feb;161;1;-1
26;blue-collar;single;primary;155;yes;no;jan;291;1;244
31;services;single;secondary;11386;yes;no;nov;356;1;-1
30;services;married;tertiary;1380;yes;no;may;294;2;-1
47;blue-collar;single;unknown;2443;no;no;jun;422;1;-1
23;technician;single;tertiary;1129;yes;no;may;806;1;-1
44;unemployed;single;primary;4232;no;no;jun;227;1;-1
42;self-employed;married;secondary;5564;no;no;nov;560;2;-1
32;services;single;secondary;-402;yes;no;apr;135;1;-1
28;admin.;single;secondary;1323;yes;no;jun;361;1;-1
57;retired;married;primary;1623;yes;yes;jul;246;1;-1
38;technician;married;tertiary;1042;yes;no;feb;419;2;-1
22;student;single;secondary;2488;no;no;nov;449;2;38
54;admin.;married;secondary;865;yes;no;nov;71;1;-1
32;technician;married;tertiary;-1053;yes;no;jul;357;3;-1
32;management;married;tertiary;1667;yes;no;nov;164;2;179
59;admin.;divorced;secondary;975;yes;no;may;263;4;-1
45;technician;married;secondary;2571;no;no;jun;146;2;-1
53;unknown;married;primary;732;no;no;oct;759;2;-1
50;admin.;divorced;secondary;769;no;no;jul;72;2;363
34;technician;married;secondary;-136;yes;yes;aug;131;2;-1
35;admin.;divorced;secondary;3636;no;yes;nov;808;2;-1
30;management;married;tertiary;931;no;no;jul;1183;1;-1
62;housemaid;married;secondary;565;no;no;sep;123;3;-1
40;blue-collar;married;secondary;271;yes;no;may;483;2;-1
26;self-employed;single;tertiary;1153;no;no;may;238;3;-1
34;management;married;tertiary;-73;yes;no;jul;90;1;-1
50;unknown;married;unknown;558;no;no;jul;464;1;683
31;unknown;divorced;tertiary;137;no;no;aug;385;9;-1
35;technician;married;secondary;700;yes;no;may;240;2;-1
55;retired;married;primary;-966;no;yes;may;104;1;-1
34;admin.;married;secondary;96;no;no;aug;109;2;-1
58;retired;married;primary;4007;no;no;nov;598;4;-1
50;management;single;tertiary;567;yes;no;may;274;8;-1
31;technician;single;secondary;40;no;no;aug;123;2;-1
47;admin.;divorced;secondary;136;no;yes;jul;70;1;-1
38;self-employed;single;tertiary;917;yes;no;may;260;1;-1
46;management;single;tertiary;593;yes;no;jan;190;3;-1
42;blue-collar;married;primary;505;yes;no;may;521;2;-1
34;blue-collar;married;secondary;2542;yes;no;may;228;1;-1
37;management;married;tertiary;5355;no;no;feb;466;4;-1
38;student;single;tertiary;807;no;no;feb;74;2;-1
59;retired;married;secondary;9976;yes;no;may;57;2;-1
32;admin.;married;secondary;0;no;no;jan;119;3;-1
55;management;married;tertiary;540;no;no;nov;124;2;-1
35;blue-collar;married;secondary;280;yes;yes;jul;65;50;-1
56;management;divorced;tertiary;-59;no;yes;jul;127;6;-1
27;admin.;married;secondary;-517;yes;no;jul;172;3;-1
42;unemployed;single;secondary;2613;yes;no;jul;174;6;-1
42;student;married;unknown;-7;no;no;jul;41;6;-1
41;blue-collar;married;primary;0;yes;no;may;232;3;-1
53;retired;divorced;secondary;-200;no;yes;jun;161;1;-1
67;retired;married;primary;2301;no;no;apr;124;1;-1
53;housemaid;married;primary;104;no;yes;jun;701;1;-1
33;blue-collar;married;primary;191;yes;no;may;162;2;-1
31;technician;single;unknown;694;yes;no;jun;431;2;-1
31;admin.;married;secondary;212;yes;no;jul;191;3;-1
30;management;married;tertiary;1882;yes;no;aug;249;5;-1
48;blue-collar;married;unknown;131;yes;no;may;189;1;-1
30;technician;single;secondary;175;no;no;aug;167;4;-1
43;technician;single;tertiary;0;no;no;aug;73;4;-1
38;management;divorced;tertiary;4425;yes;no;may;162;1;-1
46;unemployed;married;secondary;3533;yes;no;aug;235;2;-1
59;blue-collar;divorced;secondary;3573;no;no;may;44;1;-1
44;management;divorced;tertiary;476;yes;yes;may;127;2;-1
35;blue-collar;married;secondary;1257;yes;no;apr;93;3;329
55;blue-collar;married;unknown;23;no;no;jan;143;1;2
39;management;single;tertiary;0;yes;no;apr;81;2;-1
36;services;single;secondary;398;yes;yes;jun;77;2;-1
33;blue-collar;married;secondary;745;yes;no;may;115;4;-1
48;management;single;tertiary;8106;no;no;nov;125;1;111
33;management;single;tertiary;0;no;no;aug;53;4;-1
67;retired;married;unknown;696;no;no;may;77;2;-1
48;unemployed;divorced;secondary;1266;yes;no;feb;45;1;-1
57;management;married;tertiary;2416;no;no;aug;74;2;-1
31;housemaid;married;primary;25;no;no;aug;169;5;-1
30;student;single;tertiary;7513;no;no;aug;269;2;-1
56;entrepreneur;divorced;primary;29;no;no;jan;52;2;227
26;blue-collar;married;primary;5116;yes;no;jul;246;3;-1
44;management;married;secondary;-1746;yes;no;jun;218;1;-1
44;technician;divorced;secondary;14;no;no;nov;167;1;92
31;management;married;tertiary;4148;yes;no;nov;316;3;99
47;self-employed;married;unknown;14;yes;no;may;142;1;-1
30;admin.;single;secondary;105;yes;no;nov;75;1;-1
37;management;married;tertiary;767;no;yes;feb;204;1;-1
56;admin.;divorced;primary;0;no;yes;jul;542;1;-1
43;management;single;secondary;-228;yes;yes;may;122;2;-1
42;services;married;secondary;508;yes;no;may;70;1;-1
60;management;married;secondary;725;yes;no;jul;266;1;-1
34;blue-collar;married;unknown;41;yes;no;may;34;9;-1
34;management;single;tertiary;184;no;no;jul;203;4;-1
41;management;married;tertiary;251;no;yes;jun;85;3;-1
38;management;divorced;secondary;-17;no;no;nov;11;4;-1
23;services;married;secondary;-19;yes;no;jun;13;10;-1
33;management;married;tertiary;1064;yes;no;may;562;1;-1
36;blue-collar;married;secondary;777;yes;no;may;185;3;-1
49;unemployed;married;tertiary;377;no;no;may;158;1;59
34;admin.;divorced;secondary;479;yes;no;may;515;1;350
40;technician;divorced;secondary;-375;yes;no;may;60;5;-1
72;retired;married;primary;796;no;no;apr;173;2;-1
43;technician;married;secondary;17;yes;no;may;353;4;-1
44;blue-collar;married;secondary;1071;yes;no;may;143;3;357
35;admin.;married;secondary;0;yes;no;apr;18;5;-1
46;admin.;divorced;secondary;7378;no;no;nov;466;1;-1
55;admin.;married;secondary;865;yes;no;apr;85;1;151
50;technician;divorced;secondary;-701;yes;yes;jul;148;1;-1
23;blue-collar;single;unknown;817;yes;no;may;123;1;-1
34;student;married;unknown;1387;no;no;apr;121;1;-1
40;blue-collar;married;secondary;0;yes;yes;may;245;3;-1
61;retired;married;secondary;2917;no;no;oct;215;1;-1
53;technician;married;secondary;4541;yes;no;may;190;6;-1
57;technician;married;secondary;0;no;no;may;44;1;-1
28;blue-collar;married;secondary;4287;no;no;apr;171;1;-1
25;admin.;married;secondary;242;yes;no;jul;62;12;-1
38;blue-collar;married;secondary;171;yes;yes;may;172;1;-1
27;services;single;secondary;259;yes;no;may;78;10;-1
45;blue-collar;married;secondary;827;yes;no;may;319;5;-1
31;services;single;secondary;469;no;yes;feb;111;1;-1
39;blue-collar;married;primary;2226;yes;no;may;158;1;-1
42;technician;married;secondary;0;no;no;aug;82;12;-1
46;management;married;tertiary;477;yes;no;may;128;6;-1
36;services;married;secondary;42;yes;no;may;102;4;-1
30;management;single;tertiary;775;yes;no;jun;124;2;-1
32;blue-collar;married;secondary;9;yes;no;apr;334;2;-1
52;technician;married;tertiary;2557;no;no;jan;134;5;204
31;management;married;tertiary;2395;no;no;apr;218;1;-1
60;management;married;primary;4895;no;no;jun;313;1;-1
35;blue-collar;single;secondary;376;yes;yes;may;207;3;-1
38;management;married;tertiary;389;yes;no;may;262;1;-1
46;management;divorced;tertiary;134;no;no;aug;134;2;-1
45;entrepreneur;divorced;tertiary;1273;yes;yes;jun;197;3;-1
59;services;married;secondary;0;yes;no;may;214;3;-1
34;management;married;tertiary;2892;yes;yes;jul;1165;7;-1
33;technician;divorced;secondary;0;yes;no;may;177;2;-1
46;management;single;secondary;295;yes;no;may;141;6;-1
48;admin.;married;secondary;292;yes;yes;jul;164;6;-1
31;services;single;secondary;85;no;no;jul;151;1;-1
32;technician;married;secondary;4;no;no;feb;145;2;260
35;blue-collar;divorced;primary;-587;yes;no;may;111;1;-1
36;blue-collar;single;primary;367;no;no;feb;217;1;221
52;management;married;tertiary;-1224;yes;no;may;253;4;-1
45;management;divorced;tertiary;959;no;no;jun;74;1;-1
34;management;married;tertiary;0;no;no;aug;263;2;-1
25;blue-collar;married;primary;-589;yes;no;jun;233;1;-1
26;management;single;tertiary;-8;no;no;aug;402;2;-1
57;management;married;unknown;0;no;no;sep;585;1;-1
48;management;married;primary;247;yes;yes;may;145;1;-1
48;technician;married;unknown;5543;no;no;jun;143;5;-1
32;blue-collar;married;primary;642;no;yes;jul;524;1;-1
58;retired;married;secondary;11;no;no;aug;270;1;-1
57;management;married;primary;-226;yes;no;jun;272;1;-1
31;entrepreneur;married;tertiary;5191;no;no;nov;187;2;-1
33;blue-collar;single;secondary;-320;no;no;may;268;2;-1
53;entrepreneur;married;tertiary;2289;yes;yes;nov;183;1;-1
36;admin.;married;secondary;725;yes;no;feb;123;3;99
32;technician;single;tertiary;705;yes;no;apr;20;4;-1
45;blue-collar;married;secondary;776;yes;no;feb;232;4;253
35;unemployed;married;tertiary;816;yes;no;nov;547;7;-1
41;services;married;secondary;171;no;no;jul;71;9;-1
54;services;married;secondary;812;no;no;jul;113;6;-1
49;services;married;secondary;823;no;no;aug;780;4;-1
28;technician;single;secondary;1453;yes;no;may;246;1;343
24;blue-collar;single;unknown;431;yes;no;jun;108;12;-1
30;admin.;single;secondary;1009;yes;no;jan;253;1;-1
32;self-employed;married;primary;286;yes;no;aug;175;1;-1
53;entrepreneur;married;tertiary;22370;yes;no;may;106;1;-1
42;blue-collar;married;primary;2111;yes;no;may;86;2;-1
48;blue-collar;married;primary;5366;yes;no;may;248;3;-1
33;technician;married;secondary;181;yes;yes;jul;265;2;-1
31;blue-collar;divorced;secondary;-452;yes;no;may;182;5;-1
56;unemployed;divorced;primary;1770;no;no;feb;916;3;-1
58;retired;married;primary;0;no;no;aug;506;1;-1
37;admin.;single;secondary;-296;yes;no;apr;81;1;-1
59;management;married;primary;2358;yes;no;apr;30;1;-1
50;management;single;tertiary;1200;no;no;aug;904;3;-1
39;housemaid;single;primary;109;yes;no;may;699;3;-1
30;technician;married;secondary;616;yes;no;may;19;1;-1
47;services;divorced;secondary;4906;yes;no;may;389;1;-1
44;self-employed;married;secondary;313;no;no;aug;211;4;-1
38;blue-collar;married;primary;290;yes;no;apr;283;1;-1
50;management;married;tertiary;1240;no;no;aug;474;2;-1
27;admin.;single;tertiary;3672;yes;no;may;157;2;351
73;retired;married;secondary;19;no;no;nov;509;2;-1
46;blue-collar;married;primary;143;yes;no;may;279;1;-1
56;retired;divorced;secondary;212;no;yes;jul;27;1;-1
36;management;married;tertiary;9;no;no;aug;386;4;-1
33;blue-collar;married;primary;3074;no;no;nov;679;1;-1
40;management;married;tertiary;1734;yes;no;jun;169;1;-1
52;management;married;tertiary;575;no;no;jun;315;1;-1
51;blue-collar;married;secondary;397;yes;no;aug;293;2;-1
33;blue-collar;married;secondary;640;yes;no;feb;439;3;-1
54;services;married;secondary;158;yes;no;may;198;1;-1
44;management;married;secondary;2984;yes;no;may;770;2;-1
50;entrepreneur;married;secondary;1011;yes;no;jul;340;2;-1
45;blue-collar;single;secondary;0;yes;no;apr;1472;1;192
36;management;married;tertiary;1133;yes;no;aug;293;1;181
42;technician;married;secondary;4945;yes;no;mar;311;2;-1
37;technician;married;secondary;712;yes;no;nov;291;2;-1
28;services;single;secondary;-427;yes;yes;may;965;2;-1
56;admin.;married;secondary;2146;no;yes;jun;594;1;-1
59;admin.;married;secondary;92;yes;no;may;139;2;350
32;unemployed;married;secondary;10;yes;no;may;501;4;-1
57;retired;married;primary;1238;yes;no;jul;274;1;-1
49;admin.;single;secondary;981;yes;no;nov;10;3;-1
56;entrepreneur;married;unknown;575;no;no;jun;18;2;-1
48;admin.;divorced;unknown;-70;no;no;may;243;1;-1
27;student;single;tertiary;3733;yes;no;may;198;1;98
31;management;single;tertiary;574;yes;no;jul;410;2;-1
28;blue-collar;single;secondary;43;no;no;may;190;1;-1
36;management;married;tertiary;428;no;no;may;121;1;-1
58;housemaid;married;primary;0;yes;no;jul;148;1;-1
46;admin.;married;secondary;0;yes;yes;apr;239;2;259
32;management;single;tertiary;474;yes;no;aug;90;3;-1
39;services;married;secondary;-540;no;no;jun;29;1;-1
35;self-employed;married;tertiary;560;yes;no;apr;58;1;136
31;management;married;tertiary;325;yes;no;jul;1139;2;-1
29;management;single;tertiary;437;no;no;aug;504;1;92
48;blue-collar;married;primary;574;no;no;aug;348;1;-1
60;retired;married;primary;0;no;no;jul;130;3;-1
74;retired;married;secondary;935;no;no;jan;100;1;104
30;services;married;secondary;699;yes;no;may;544;1;-1
52;admin.;single;primary;0;no;no;may;182;11;-1
24;blue-collar;married;secondary;-220;yes;no;apr;90;1;-1
29;services;married;secondary;11417;yes;no;may;272;2;-1
33;housemaid;married;primary;212;yes;no;jul;260;2;-1
34;blue-collar;married;secondary;67;yes;yes;may;672;3;-1
45;admin.;divorced;secondary;0;no;no;oct;264;1;-1
31;blue-collar;married;secondary;0;no;yes;jul;275;2;-1
45;technician;married;secondary;1673;no;no;oct;76;1;-1
27;services;married;secondary;-1202;yes;no;jun;749;2;-1
30;management;single;tertiary;4213;no;no;aug;142;4;-1
45;blue-collar;married;primary;0;no;no;aug;454;2;-1
57;blue-collar;married;secondary;1521;yes;yes;may;102;2;178
34;management;married;tertiary;1310;no;no;jan;521;3;158
40;admin.;married;secondary;0;yes;yes;nov;57;1;-1
39;management;married;tertiary;399;no;no;apr;504;1;-1
46;technician;married;tertiary;405;no;no;aug;138;3;-1
55;management;divorced;tertiary;9756;yes;no;jun;103;2;95
25;management;single;tertiary;2506;no;no;feb;485;1;-1
34;management;married;tertiary;697;no;no;aug;166;1;-1
37;blue-collar;married;primary;403;yes;no;may;318;2;338
64;retired;divorced;tertiary;890;no;no;jul;531;3;-1
45;technician;divorced;secondary;809;yes;no;may;155;2;363
57;housemaid;married;secondary;158;yes;no;jul;73;1;-1
21;student;single;unknown;137;yes;no;may;198;3;-1
58;housemaid;married;secondary;2705;no;no;aug;137;1;-1
41;blue-collar;single;secondary;75;yes;no;jul;479;9;-1
41;management;married;unknown;2457;yes;no;may;285;1;-1
58;management;married;tertiary;541;yes;no;may;98;1;-1
33;management;married;tertiary;287;yes;no;may;199;2;274
32;management;married;tertiary;273;yes;yes;jul;97;3;-1
